MGO1,MGS1,MGO2,MGS2,MGO3,MGS3,MGO4,MGS4,MGO5,MGS5,MGO6,MGS6,MGO7,MGS7,MGO8,MGS8,MGO9,MGS9,MGO10,MGS10,MGO11,MGS11,MGO12,MGS12,MGO13,MGS13,MGO14,MGS14,MGO15,MGS15,MGO16,MGS16,MGO17,MGS17,AttCheck,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Rel,Eng,Emp_status,Income,Education,Gender,pol_party_1,pol_party_2,pol_party_3,pol_party_4,pol_soc,pol_econ,Condition,subj,Other1Self0,Public1Priv0,MoralGood1,MoralGood2,MoralGood3,MoralGood4,MoralGood5,MoralGood6,MoralGood7,MoralGood8,MoralGood9,MoralGood10,MoralGood11,MoralGood12,MoralGood13,MoralGood14,MoralGood15,MoralGood16,MoralGood17,Race,PartyID,Ideology
,7,,4,,7,,7,,7,,4,,7,,7,,7,,7,,7,,7,,7,,7,,4,,4,,7,`orange,43,1,,,,,,#NULL!,5,1,1,6,2,2,,,1,,4,4,SelfPrivate,1,0,0,7,4,7,7,7,4,7,7,7,7,7,7,7,7,4,4,7,White,Ind,4
,7,,7,,5,,7,,7,,7,,7,,7,,7,,7,,7,,4,,7,,7,,7,,5,,7,orange,41,1,,,,,,#NULL!,2,1,1,9,5,1,1,,,,8,10,SelfPublic,2,0,1,7,7,5,7,7,7,7,7,7,7,7,4,7,7,7,5,7,White,Rep,9
1,,1,,5,,4,,7,,1,,7,,4,,4,,5,,4,,1,,4,,4,,1,,6,,6,,orange,24,,,,1,,,#NULL!,2,1,1,7,6,2,,,1,,8,8,OtherPublic,3,1,1,1,1,5,4,7,1,7,4,4,5,4,1,4,4,1,6,6,Asian,Ind,8
3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,orange,33,1,,,,,,#NULL!,2,1,1,6,2,1,1,,,,10,4,OtherPublic,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,White,Rep,7
,5,,6,,7,,7,,7,,4,,7,,6,,6,,4,,4,,5,,5,,6,,5,,7,,5,orange,35,1,,,,,,#NULL!,2,1,1,6,5,2,,,1,,9,9,SelfPublic,5,0,1,5,6,7,7,7,4,7,6,6,4,4,5,5,6,5,7,5,White,Ind,9
7,,6,,6,,7,,7,,6,,7,,7,,6,,7,,6,,7,,7,,7,,7,,7,,7,,orange,69,1,,,,,,#NULL!,3,1,1,6,3,1,,1,,,3,3,OtherPrivate,6,1,0,7,6,6,7,7,6,7,7,6,7,6,7,7,7,7,7,7,White,Dem,3
6,,5,,5,,6,,6,,6,,7,,7,,6,,6,,5,,5,,6,,6,,5,,5,,6,,orange,34,,,,1,,1,#NULL!,1,1,1,7,6,2,,1,,,1,1,OtherPrivate,7,1,0,6,5,5,6,6,6,7,7,6,6,5,5,6,6,5,5,6,Other,Dem,1
4,,7,,4,,5,,7,,6,,6,,7,,5,,6,,4,,4,,6,,6,,6,,6,,7,,orange,51,,1,,,,,#NULL!,3,1,1,6,2,2,,1,,,9,8,OtherPublic,8,1,1,4,7,4,5,7,6,6,7,5,6,4,4,6,6,6,6,7,Black,Dem,8.5
4,,4,,5,,5,,5,,5,,5,,5,,5,,5,,4,,4,,5,,5,,4,,5,,5,,orange,41,,,,1,,,#NULL!,1,1,1,6,6,1,,1,,,2,2,OtherPublic,9,1,1,4,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,Asian,Dem,2
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,27,1,,,,,,#NULL!,1,1,1,6,5,2,,,1,,2,2,OtherPrivate,10,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Ind,2
,4,,5,,6,,7,,7,,6,,7,,7,,7,,6,,5,,5,,7,,7,,4,,5,,6,orange,64,1,,,,,,#NULL!,4,1,9,8,6,2,,,1,,8,9,SelfPrivate,11,0,0,4,5,6,7,7,6,7,7,7,6,5,5,7,7,4,5,6,White,Ind,8.5
3,,5,,5,,6,,5,,4,,5,,5,,5,,4,,4,,5,,3,,6,,2,,5,,5,,orange,34,1,,,,,,#NULL!,1,1,1,5,3,1,1,,,,9,9,OtherPublic,12,1,1,3,5,5,6,5,4,5,5,5,4,4,5,3,6,2,5,5,White,Rep,9
,1,,6,,7,,5,,6,,5,,3,,3,,2,,3,,5,,2,,1,,3,,2,,2,,5,orange,61,1,,,,,,#NULL!,1,1,1,8,4,1,1,,,,4,8,SelfPublic,13,0,1,1,6,7,5,6,5,3,3,2,3,5,2,1,3,2,2,5,White,Rep,6
,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,orange,33,,1,,,,,#NULL!,4,1,1,7,5,1,1,,,,10,10,SelfPrivate,14,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Black,Rep,10
,7,,7,,7,,7,,7,,7,,7,,7,,7,,6,,4,,5,,7,,7,,3,,7,,7,orange,50,1,,,,,,#NULL!,1,1,8,2,5,2,,1,,,1,2,SelfPrivate,15,0,0,7,7,7,7,7,7,7,7,7,6,4,5,7,7,3,7,7,White,Dem,1.5
6,,7,,7,,7,,7,,7,,5,,7,,7,,7,,7,,7,,7,,7,,5,,7,,7,,orange,39,1,,,,,,#NULL!,3,1,1,8,5,2,1,,,,10,8,OtherPublic,16,1,1,6,7,7,7,7,7,5,7,7,7,7,7,7,7,5,7,7,White,Rep,9
,5,,6,,6,,6,,6,,5,,6,,6,,5,,5,,6,,5,,6,,5,,4,,4,,6,orange,43,1,,,,,,#NULL!,3,1,1,5,3,1,,1,,,2,2,SelfPublic,17,0,1,5,6,6,6,6,5,6,6,5,5,6,5,6,5,4,4,6,White,Dem,2
6,,6,,6,,7,,6,,5,,5,,6,,5,,6,,6,,5,,5,,5,,6,,6,,6,,orange,32,1,,,,,,#NULL!,4,1,8,1,2,1,1,,,,9,9,OtherPublic,18,1,1,6,6,6,7,6,5,5,6,5,6,6,5,5,5,6,6,6,White,Rep,9
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,orange,38,1,,,,,,#NULL!,1,1,8,8,6,2,,1,,,2,3,OtherPublic,19,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,White,Dem,2.5
7,,4,,4,,7,,7,,4,,4,,6,,7,,7,,6,,7,,7,,7,,4,,5,,6,,orange,72,1,,,,,,#NULL!,2,1,6,7,5,1,,1,,,3,3,OtherPrivate,20,1,0,7,4,4,7,7,4,4,6,7,7,6,7,7,7,4,5,6,White,Dem,3
6,,6,,6,,6,,6,,6,,7,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,23,1,,,,,,#NULL!,4,1,1,9,3,1,1,,,,10,3,OtherPrivate,21,1,0,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,White,Rep,6.5
5,,5,,5,,6,,5,,5,,6,,5,,6,,6,,5,,6,,5,,6,,4,,6,,6,,orange,71,1,,,,,,#NULL!,3,1,1,4,5,2,,1,,,9,9,OtherPrivate,22,1,0,5,5,5,6,5,5,6,5,6,6,5,6,5,6,4,6,6,White,Dem,9
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,44,,,,1,,,#NULL!,1,1,2,8,5,2,,,1,,4,4,OtherPrivate,23,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Asian,Ind,4
5,,5,,5,,5,,7,,6,,7,,6,,3,,5,,5,,3,,5,,4,,3,,4,,4,,orange,34,1,,,,,,#NULL!,1,1,1,3,5,1,,1,,,3,3,OtherPublic,24,1,1,5,5,5,5,7,6,7,6,3,5,5,3,5,4,3,4,4,White,Dem,3
4,,5,,5,,6,,5,,5,,5,,5,,5,,6,,5,,4,,5,,5,,4,,4,,5,,orange,49,1,,,,,,#NULL!,1,1,7,2,4,2,,,1,,8,2,OtherPublic,25,1,1,4,5,5,6,5,5,5,5,5,6,5,4,5,5,4,4,5,White,Ind,5
,4,,5,,4,,6,,6,,5,,6,,6,,6,,4,,4,,6,,4,,6,,4,,6,,4,orange,62,1,,,,,,#NULL!,2,1,2,7,5,1,,,1,,3,4,SelfPrivate,26,0,0,4,5,4,6,6,5,6,6,6,4,4,6,4,6,4,6,4,White,Ind,3.5
4,,4,,5,,5,,7,,4,,6,,7,,4,,4,,3,,4,,7,,6,,5,,3,,6,,orange,27,1,,,,,,#NULL!,4,1,1,7,5,1,1,,,,9,10,OtherPublic,27,1,1,4,4,5,5,7,4,6,7,4,4,3,4,7,6,5,3,6,White,Rep,9.5
3,,5,,5,,6,,6,,5,,5,,3,,5,,5,,5,,4,,5,,5,,3,,5,,3,,orange,63,1,,,,,,#NULL!,3,1,1,8,5,1,1,,,,10,10,OtherPrivate,28,1,0,3,5,5,6,6,5,5,3,5,5,5,4,5,5,3,5,3,White,Rep,10
6,,5,,5,,6,,6,,5,,6,,6,,6,,6,,6,,6,,6,,6,,5,,5,,6,,orange,61,1,,,,,,#NULL!,3,1,2,8,5,2,,1,,,2,2,OtherPrivate,29,1,0,6,5,5,6,6,5,6,6,6,6,6,6,6,6,5,5,6,White,Dem,2
,5,,5,,5,,6,,7,,5,,7,,6,,6,,6,,5,,5,,7,,7,,3,,5,,7,orange,60,1,,,,,,#NULL!,3,1,1,6,6,2,,1,,,1,3,SelfPrivate,30,0,0,5,5,5,6,7,5,7,6,6,6,5,5,7,7,3,5,7,White,Dem,2
5,,4,,5,,5,,4,,4,,5,,6,,3,,3,,4,,5,,6,,3,,2,,3,,3,,orange,51,1,,,,,,#NULL!,2,1,8,6,5,2,,,1,,4,3,OtherPublic,31,1,1,5,4,5,5,4,4,5,6,3,3,4,5,6,3,2,3,3,White,Ind,3.5
,4,,5,,5,,6,,6,,5,,6,,7,,6,,6,,5,,5,,6,,6,,4,,6,,7,orange,45,1,,,,,,#NULL!,1,1,1,8,6,1,,1,,,2,4,SelfPrivate,32,0,0,4,5,5,6,6,5,6,7,6,6,5,5,6,6,4,6,7,White,Dem,3
5,,5,,6,,6,,6,,4,,7,,5,,5,,6,,6,,5,,6,,5,,4,,6,,6,,orange,44,1,,,,,,#NULL!,3,1,7,8,6,2,,1,,,2,3,OtherPublic,33,1,1,5,5,6,6,6,4,7,5,5,6,6,5,6,5,4,6,6,White,Dem,2.5
,5,,6,,5,,6,,6,,6,,6,,6,,6,,6,,6,,5,,7,,5,,5,,7,,7,orange,32,,,,1,,,#NULL!,3,1,1,8,6,1,1,,,,10,3,SelfPublic,34,0,1,5,6,5,6,6,6,6,6,6,6,6,5,7,5,5,7,7,Asian,Rep,6.5
1,,2,,7,,7,,6,,7,,7,,5,,6,,5,,5,,6,,7,,6,,6,,5,,6,,orange,35,1,,,,,,#NULL!,2,1,1,7,4,1,,,1,,4,4,OtherPublic,35,1,1,1,2,7,7,6,7,7,5,6,5,5,6,7,6,6,5,6,White,Ind,4
,6,,7,,6,,7,,6,,6,,7,,6,,7,,6,,6,,6,,6,,5,,6,,7,,6,orange,32,1,,,,,,#NULL!,4,1,7,5,4,2,1,,,,10,9,SelfPrivate,36,0,0,6,7,6,7,6,6,7,6,7,6,6,6,6,5,6,7,6,White,Rep,9.5
,4,,4,,5,,5,,6,,5,,7,,5,,4,,5,,4,,6,,5,,5,,4,,5,,5,orange,39,1,,,,,,#NULL!,1,1,1,2,5,1,,1,,,1,4,SelfPublic,37,0,1,4,4,5,5,6,5,7,5,4,5,4,6,5,5,4,5,5,White,Dem,2.5
5,,5,,6,,6,,6,,5,,6,,6,,5,,6,,5,,5,,5,,5,,4,,6,,5,,orange,38,1,,,,,,#NULL!,1,1,1,7,3,2,1,,,,8,8,OtherPublic,38,1,1,5,5,6,6,6,5,6,6,5,6,5,5,5,5,4,6,5,White,Rep,8
,6,,6,,6,,6,,7,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,orange,40,1,,,,,,#NULL!,3,1,2,7,3,2,,1,,,2,2,SelfPrivate,39,0,0,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,White,Dem,2
,4,,4,,4,,6,,7,,6,,6,,6,,5,,4,,3,,7,,5,,6,,4,,5,,5,orange,40,,1,,,,,#NULL!,4,1,1,3,6,1,,1,,,1,1,SelfPublic,40,0,1,4,4,4,6,7,6,6,6,5,4,3,7,5,6,4,5,5,Black,Dem,1
,6,,6,,6,,6,,6,,7,,6,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,orange,70,,1,,,,,#NULL!,3,1,6,2,3,1,,1,,,3,3,SelfPrivate,41,0,0,6,6,6,6,6,7,6,7,7,6,6,6,6,6,6,6,6,Black,Dem,3
3,,5,,5,,5,,5,,3,,5,,4,,5,,5,,5,,5,,5,,5,,2,,2,,5,,orange,58,1,,,,,,#NULL!,2,1,1,9,5,1,,1,,,3,3,OtherPublic,42,1,1,3,5,5,5,5,3,5,4,5,5,5,5,5,5,2,2,5,White,Dem,3
3,,4,,3,,4,,4,,3,,4,,5,,2,,2,,3,,2,,4,,3,,4,,4,,4,,orange,50,1,,,,,,#NULL!,3,1,1,2,5,1,,1,,,1,1,OtherPrivate,43,1,0,3,4,3,4,4,3,4,5,2,2,3,2,4,3,4,4,4,White,Dem,1
6,,5,,4,,4,,4,,4,,5,,4,,6,,4,,4,,5,,5,,4,,3,,5,,4,,orange,37,1,,,,,,#NULL!,1,1,1,4,2,1,,1,,,3,3,OtherPublic,44,1,1,6,5,4,4,4,4,5,4,6,4,4,5,5,4,3,5,4,White,Dem,3
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,38,1,,,,,,#NULL!,1,1,8,3,2,1,,,1,,4,4,OtherPrivate,45,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Ind,4
,7,,1,,4,,7,,7,,1,,7,,7,,4,,4,,4,,4,,4,,4,,1,,1,,7,orange,42,,1,,,,,#NULL!,1,1,1,2,2,1,,1,,,3,3,SelfPublic,46,0,1,7,1,4,7,7,1,7,7,4,4,4,4,4,4,1,1,7,Black,Dem,3
,5,,5,,6,,6,,5,,5,,6,,6,,5,,4,,5,,3,,5,,5,,2,,2,,7,orange,45,1,,,,,,#NULL!,1,1,1,9,5,2,1,,,,10,10,SelfPublic,47,0,1,5,5,6,6,5,5,6,6,5,4,5,3,5,5,2,2,7,White,Rep,10
6,,5,,6,,7,,7,,4,,7,,7,,7,,6,,5,,6,,7,,6,,4,,6,,7,,orange,45,1,,,,,,#NULL!,1,1,3,6,5,2,,,1,,1,2,OtherPublic,48,1,1,6,5,6,7,7,4,7,7,7,6,5,6,7,6,4,6,7,White,Ind,1.5
,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,3,,4,,5,,5,,5,,5,orange,45,1,,,,,,#NULL!,3,1,8,8,6,2,1,,,,4,9,SelfPrivate,49,0,0,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,White,Rep,6.5
4,,4,,4,,6,,4,,5,,6,,5,,5,,5,,5,,4,,5,,5,,4,,5,,6,,orange,35,1,,,,,,#NULL!,3,1,1,7,5,1,1,,,,10,10,OtherPublic,50,1,1,4,4,4,6,4,5,6,5,5,5,5,4,5,5,4,5,6,White,Rep,10
7,,5,,7,,7,,7,,7,,7,,7,,7,,7,,4,,7,,7,,7,,4,,7,,7,,orange,33,1,,,,,,#NULL!,3,1,7,7,5,2,1,,,,10,10,OtherPrivate,51,1,0,7,5,7,7,7,7,7,7,7,7,4,7,7,7,4,7,7,White,Rep,10
4,,4,,5,,6,,6,,4,,6,,6,,5,,6,,6,,4,,6,,6,,4,,4,,5,,orange,60,1,,,,,,#NULL!,1,1,6,1,5,1,,,,1,3,10,OtherPrivate,52,1,0,4,4,5,6,6,4,6,6,5,6,6,4,6,6,4,4,5,White,Other,6.5
6,,6,,6,,6,,7,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,53,1,,,,,,#NULL!,2,1,1,9,5,1,1,,,,9,9,OtherPrivate,53,1,0,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,White,Rep,9
,5,,5,,5,,6,,6,,5,,5,,5,,5,,5,,4,,5,,5,,5,,4,,5,,5,orange,28,1,,,,,,#NULL!,3,1,1,2,2,1,1,,,,10,10,SelfPublic,54,0,1,5,5,5,6,6,5,5,5,5,5,4,5,5,5,4,5,5,White,Rep,10
,4,,5,,5,,6,,7,,5,,7,,6,,4,,5,,5,,6,,6,,4,,4,,4,,6,orange,46,,,,,,1,#NULL!,1,1,1,3,5,2,,1,,,1,2,SelfPublic,55,0,1,4,5,5,6,7,5,7,6,4,5,5,6,6,4,4,4,6,Other,Dem,1.5
,5,,4,,4,,7,,7,,5,,6,,6,,5,,4,,4,,4,,5,,5,,3,,3,,6,orange,40,1,,,,,,#NULL!,1,1,1,6,5,1,,1,,,2,2,SelfPublic,56,0,1,5,4,4,7,7,5,6,6,5,4,4,4,5,5,3,3,6,White,Dem,2
,4,,2,,4,,4,,5,,3,,5,,4,,3,,4,,4,,3,,5,,2,,2,,5,,5,orange,34,1,,,,,,#NULL!,1,2,4,3,3,2,,1,,,3,1,SelfPublic,57,0,1,4,2,4,4,5,3,5,4,3,4,4,3,5,2,2,5,5,White,Dem,2
,6,,3,,6,,6,,3,,3,,3,,6,,6,,6,,6,,3,,6,,6,,4,,4,,6,orange,34,1,,,,,,#NULL!,3,1,8,1,3,1,1,,,,4,4,SelfPublic,58,0,1,6,3,6,6,3,3,3,6,6,6,6,3,6,6,4,4,6,White,Rep,4
,6,,7,,5,,6,,5,,5,,4,,5,,5,,4,,4,,4,,6,,7,,6,,5,,5,orange,34,1,,,,,,#NULL!,1,1,1,8,6,1,,,1,,3,10,SelfPrivate,59,0,0,6,7,5,6,5,5,4,5,5,4,4,4,6,7,6,5,5,White,Ind,6.5
,6,,6,,5,,7,,7,,5,,6,,6,,6,,5,,5,,6,,6,,7,,5,,6,,7,orange,38,1,,,,,,#NULL!,1,1,1,8,5,1,,,1,,2,3,SelfPrivate,60,0,0,6,6,5,7,7,5,6,6,6,5,5,6,6,7,5,6,7,White,Ind,2.5
5,,5,,6,,7,,7,,5,,6,,7,,5,,6,,6,,5,,7,,6,,5,,6,,6,,orange,47,1,,,,,,#NULL!,3,1,1,6,5,1,1,,,,3,8,OtherPrivate,61,1,0,5,5,6,7,7,5,6,7,5,6,6,5,7,6,5,6,6,White,Rep,5.5
,4,,3,,4,,5,,5,,4,,4,,5,,4,,4,,3,,4,,5,,5,,2,,4,,4,orange,65,1,,,,,,#NULL!,1,1,1,3,2,2,,1,,,3,3,SelfPublic,62,0,1,4,3,4,5,5,4,4,5,4,4,3,4,5,5,2,4,4,White,Dem,3
4,,4,,6,,5,,4,,6,,4,,5,,6,,4,,6,,3,,4,,4,,5,,4,,6,,orange,,1,1,1,,,,#NULL!,3,1,3,6,3,1,,,1,,4,4,OtherPrivate,63,1,0,4,4,6,5,4,6,4,5,6,4,6,3,4,4,5,4,6,AmerInd,Ind,4
4,,4,,4,,5,,6,,5,,5,,4,,5,,4,,5,,4,,5,,5,,4,,4,,4,,orange,45,1,,,,,,#NULL!,3,1,1,9,6,1,1,,,,10,10,OtherPrivate,64,1,0,4,4,4,5,6,5,5,4,5,4,5,4,5,5,4,4,4,White,Rep,10
5,,6,,5,,5,,6,,7,,7,,7,,6,,6,,4,,6,,6,,7,,6,,6,,7,,orange,25,1,,,,,,#NULL!,1,1,9,3,1,3,,1,,,1,1,OtherPrivate,65,1,0,5,6,5,5,6,7,7,7,6,6,4,6,6,7,6,6,7,White,Dem,1
6,,6,,6,,7,,7,,6,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,,7,,orange,45,,,,1,,,#NULL!,1,1,1,5,5,1,,1,,,1,2,OtherPublic,66,1,1,6,6,6,7,7,6,7,7,6,6,6,6,6,6,6,6,7,Asian,Dem,1.5
7,,7,,6,,7,,7,,7,,7,,7,,7,,7,,6,,6,,7,,7,,6,,6,,7,,orange,37,,,,,,1,#NULL!,3,1,8,9,6,2,,1,,,2,1,OtherPrivate,67,1,0,7,7,6,7,7,7,7,7,7,7,6,6,7,7,6,6,7,Other,Dem,1.5
,5,,6,,5,,6,,6,,5,,5,,5,,2,,5,,5,,6,,5,,2,,2,,5,,6,orange,27,1,,,,,,#NULL!,1,1,4,1,5,2,,,1,,4,4,SelfPublic,68,0,1,5,6,5,6,6,5,5,5,2,5,5,6,5,2,2,5,6,White,Ind,4
,4,,4,,4,,5,,6,,4,,6,,5,,6,,4,,4,,4,,5,,6,,4,,5,,4,orange,67,,,,1,,,#NULL!,1,1,3,1,3,1,,,1,,2,2,SelfPrivate,69,0,0,4,4,4,5,6,4,6,5,6,4,4,4,5,6,4,5,4,Asian,Ind,2
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,40,,1,,,,,#NULL!,4,1,1,2,5,2,,1,,,1,1,OtherPrivate,70,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Black,Dem,1
3,,7,,6,,6,,7,,5,,7,,5,,5,,5,,5,,5,,7,,5,,5,,7,,7,,orange,43,1,,,,,,#NULL!,1,1,8,3,1,2,1,,,,8,8,OtherPublic,71,1,1,3,7,6,6,7,5,7,5,5,5,5,5,7,5,5,7,7,White,Rep,8
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,43,1,,,,,,#NULL!,1,1,1,9,6,2,1,,,,8,8,OtherPrivate,72,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,Rep,8
,6,,5,,6,,7,,6,,6,,7,,6,,6,,6,,7,,6,,6,,6,,6,,6,,5,orange,28,1,,,,,,#NULL!,1,1,2,2,3,2,,1,,,2,3,SelfPrivate,73,0,0,6,5,6,7,6,6,7,6,6,6,7,6,6,6,6,6,5,White,Dem,2.5
