MGO1,MGS1,MGO2,MGS2,MGO3,MGS3,MGO4,MGS4,MGO5,MGS5,MGO6,MGS6,MGO7,MGS7,MGO8,MGS8,MGO9,MGS9,MGO10,MGS10,MGO11,MGS11,MGO12,MGS12,MGO13,MGS13,MGO14,MGS14,MGO15,MGS15,MGO16,MGS16,MGO17,MGS17,AttCheck,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Rel,Eng,Emp_status,Income,Education,Gender,pol_party_1,pol_party_2,pol_party_3,pol_party_4,pol_soc,pol_econ,Condition,subj,Other1Self0,Public1Priv0,MoralGood1,MoralGood2,MoralGood3,MoralGood4,MoralGood5,MoralGood6,MoralGood7,MoralGood8,MoralGood9,MoralGood10,MoralGood11,MoralGood12,MoralGood13,MoralGood14,MoralGood15,MoralGood16,MoralGood17,Race,PartyID,Ideology
,4,,6,,6,,6,,7,,6,,6,,6,,5,,6,,6,,4,,6,,5,,3,,3,,7,orange,56,1,,,,,,#NULL!,3,1,8,1,3,2,,,1,,10,3,SelfPublic,74,0,1,4,6,6,6,7,6,6,6,5,6,6,4,6,5,3,3,7,White,Ind,6.5
1,,7,,7,,7,,7,,4,,7,,7,,1,,7,,7,,1,,7,,1,,1,,7,,7,,orange,55,,1,,,,,#NULL!,1,2,1,6,3,1,,,1,,4,4,OtherPublic,75,1,1,1,7,7,7,7,4,7,7,1,7,7,1,7,1,1,7,7,Black,Ind,4
,4,,4,,4,,6,,5,,4,,6,,6,,6,,6,,4,,4,,6,,5,,4,,5,,5,orange,49,1,,,,,,#NULL!,1,1,1,5,3,1,,1,,,4,4,SelfPrivate,76,0,0,4,4,4,6,5,4,6,6,6,6,4,4,6,5,4,5,5,White,Dem,4
,7,,6,,6,,7,,7,,7,,6,,7,,6,,6,,7,,7,,7,,7,,7,,7,,7,orange,32,,1,,,,,#NULL!,3,1,1,5,3,2,,1,,,1,1,SelfPrivate,77,0,0,7,6,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,Black,Dem,1
4,,7,,6,,6,,6,,5,,5,,6,,5,,6,,5,,4,,6,,5,,5,,5,,6,,orange,55,1,,,,,,#NULL!,1,1,1,8,6,1,,1,,,2,2,OtherPublic,78,1,1,4,7,6,6,6,5,5,6,5,6,5,4,6,5,5,5,6,White,Dem,2
5,,5,,6,,6,,5,,5,,6,,5,,6,,6,,5,,5,,5,,6,,5,,5,,6,,orange,25,,,,1,,,#NULL!,1,1,1,5,5,1,1,,,,8,8,OtherPublic,79,1,1,5,5,6,6,5,5,6,5,6,6,5,5,5,6,5,5,6,Asian,Rep,8
,5,,4,,4,,5,,4,,4,,5,,4,,4,,3,,4,,4,,5,,5,,4,,3,,5,orange,57,1,,,,,,#NULL!,1,1,1,4,5,2,,,1,,3,4,SelfPublic,80,0,1,5,4,4,5,4,4,5,4,4,3,4,4,5,5,4,3,5,White,Ind,3.5
,1,,1,,1,,7,,7,,2,,7,,7,,1,,2,,7,,4,,6,,5,,1,,4,,6,orange,46,1,,1,,,,#NULL!,2,1,2,3,3,2,1,,,,9,9,SelfPublic,81,0,1,1,1,1,7,7,2,7,7,1,2,7,4,6,5,1,4,6,AmerInd,Rep,9
2,,3,,6,,7,,7,,6,,6,,6,,6,,6,,5,,7,,5,,7,,3,,5,,5,,orange,35,,1,,,,,#NULL!,1,1,1,6,2,1,,1,,,4,2,OtherPrivate,82,1,0,2,3,6,7,7,6,6,6,6,6,5,7,5,7,3,5,5,Black,Dem,3
,4,,5,,4,,6,,6,,4,,6,,5,,4,,6,,5,,5,,5,,4,,4,,5,,5,orange,73,1,,,,,,#NULL!,1,1,6,4,6,2,,1,,,2,3,SelfPublic,83,0,1,4,5,4,6,6,4,6,5,4,6,5,5,5,4,4,5,5,White,Dem,2.5
,5,,5,,5,,7,,6,,5,,6,,6,,6,,5,,6,,4,,6,,5,,4,,5,,5,orange,62,1,,,,,,#NULL!,1,1,8,7,6,1,,1,,,2,3,SelfPrivate,84,0,0,5,5,5,7,6,5,6,6,6,5,6,4,6,5,4,5,5,White,Dem,2.5
,4,,4,,4,,4,,4,,4,,4,,4,,5,,5,,4,,5,,4,,5,,4,,4,,4,orange,30,,1,,,,,#NULL!,1,1,1,7,5,2,,1,,,1,1,SelfPublic,85,0,1,4,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,4,Black,Dem,1
3,,4,,4,,5,,5,,4,,5,,4,,5,,3,,4,,5,,5,,5,,4,,6,,5,,orange,47,1,,,,,,#NULL!,2,1,8,7,4,2,,,1,,3,8,OtherPublic,86,1,1,3,4,4,5,5,4,5,4,5,3,4,5,5,5,4,6,5,White,Ind,5.5
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,orange,34,1,,,,,,#NULL!,1,1,8,4,3,2,,,,1,4,4,OtherPublic,87,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,White,Other,4
,5,,3,,5,,6,,6,,5,,6,,6,,6,,6,,5,,6,,5,,7,,4,,5,,6,orange,50,,,,1,,,#NULL!,4,2,1,8,5,1,1,,,,9,4,SelfPrivate,88,0,0,5,3,5,6,6,5,6,6,6,6,5,6,5,7,4,5,6,Asian,Rep,6.5
,5,,4,,4,,5,,5,,5,,4,,5,,4,,4,,4,,4,,4,,4,,4,,4,,5,orange,28,1,,,,,,#NULL!,1,1,1,5,5,1,,1,,,2,2,SelfPublic,89,0,1,5,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,5,White,Dem,2
7,,6,,6,,7,,7,,7,,7,,7,,6,,7,,7,,6,,7,,7,,6,,7,,7,,orange,67,1,,,,,,#NULL!,1,1,2,9,6,2,,1,,,3,3,OtherPrivate,90,1,0,7,6,6,7,7,7,7,7,6,7,7,6,7,7,6,7,7,White,Dem,3
6,,5,,5,,6,,7,,5,,7,,5,,6,,5,,5,,4,,6,,6,,6,,6,,6,,orange,39,1,,,,,,#NULL!,1,1,2,3,5,1,,1,,,1,1,OtherPrivate,91,1,0,6,5,5,6,7,5,7,5,6,5,5,4,6,6,6,6,6,White,Dem,1
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,45,1,,,,,,#NULL!,3,1,1,7,3,1,,1,,,1,3,OtherPublic,92,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Dem,2
,6,,6,,5,,5,,7,,3,,6,,6,,5,,5,,5,,5,,7,,6,,5,,7,,7,orange,34,1,,,,,,#NULL!,1,1,1,6,2,1,1,,,,8,8,SelfPublic,93,0,1,6,6,5,5,7,3,6,6,5,5,5,5,7,6,5,7,7,White,Rep,8
,5,,6,,6,,7,,7,,5,,5,,6,,7,,6,,6,,4,,7,,7,,6,,5,,6,orange,55,1,,,,,,#NULL!,2,1,1,7,4,1,1,,,,9,10,SelfPrivate,94,0,0,5,6,6,7,7,5,5,6,7,6,6,4,7,7,6,5,6,White,Rep,9.5
4,,6,,6,,6,,7,,4,,7,,7,,5,,6,,6,,4,,6,,5,,4,,5,,6,,orange,65,1,,,,,,#NULL!,3,1,1,5,5,1,,,1,,4,10,OtherPublic,95,1,1,4,6,6,6,7,4,7,7,5,6,6,4,6,5,4,5,6,White,Ind,7
5,,4,,4,,5,,5,,5,,5,,6,,5,,5,,5,,4,,5,,5,,4,,4,,5,,orange,38,1,,,,,,#NULL!,1,1,8,5,6,2,,,1,,2,2,OtherPrivate,96,1,0,5,4,4,5,5,5,5,6,5,5,5,4,5,5,4,4,5,White,Ind,2
,5,,3,,7,,5,,6,,5,,6,,5,,3,,3,,5,,6,,6,,5,,2,,3,,6,orange,62,1,,,,,,#NULL!,2,1,1,7,5,1,,1,,,2,2,SelfPublic,97,0,1,5,3,7,5,6,5,6,5,3,3,5,6,6,5,2,3,6,White,Dem,2
,5,,5,,5,,5,,7,,5,,7,,7,,5,,7,,5,,6,,5,,7,,5,,7,,5,orange,39,1,,,,,,#NULL!,3,1,1,7,3,1,1,,,,10,10,SelfPrivate,98,0,0,5,5,5,5,7,5,7,7,5,7,5,6,5,7,5,7,5,White,Rep,10
,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,orange,39,1,,,,,,#NULL!,1,1,1,8,5,2,1,,,,4,4,SelfPrivate,99,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,Rep,4
3,,5,,6,,6,,5,,5,,5,,4,,3,,5,,6,,4,,4,,4,,4,,7,,6,,orange,40,1,,,,,,#NULL!,2,1,2,5,5,2,1,,,,8,8,OtherPublic,100,1,1,3,5,6,6,5,5,5,4,3,5,6,4,4,4,4,7,6,White,Rep,8
,5,,5,,6,,7,,6,,7,,7,,7,,7,,6,,6,,7,,6,,7,,4,,4,,5,orange,35,1,,,,,,#NULL!,1,1,1,8,2,1,,1,,,1,3,SelfPrivate,101,0,0,5,5,6,7,6,7,7,7,7,6,6,7,6,7,4,4,5,White,Dem,2
,4,,4,,5,,6,,6,,4,,6,,6,,6,,4,,5,,4,,6,,2,,4,,5,,6,orange,36,1,,,1,,,#NULL!,2,1,1,6,5,1,,,1,,4,9,SelfPublic,102,0,1,4,4,5,6,6,4,6,6,6,4,5,4,6,2,4,5,6,Asian,Ind,6.5
,5,,6,,6,,5,,7,,6,,7,,7,,7,,7,,5,,4,,7,,7,,6,,5,,4,orange,33,1,,,,,,#NULL!,1,1,2,5,5,2,,1,,,2,2,SelfPrivate,103,0,0,5,6,6,5,7,6,7,7,7,7,5,4,7,7,6,5,4,White,Dem,2
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,40,1,,,,,,#NULL!,1,1,1,8,6,1,,1,,,1,1,OtherPrivate,104,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,Dem,1
,6,,5,,5,,6,,6,,4,,6,,6,,6,,6,,6,,4,,6,,6,,4,,5,,6,orange,66,1,,,,,,#NULL!,1,1,8,8,5,1,,,1,,2,9,SelfPrivate,105,0,0,6,5,5,6,6,4,6,6,6,6,6,4,6,6,4,5,6,White,Ind,5.5
5,,4,,5,,7,,6,,5,,6,,6,,5,,6,,5,,6,,6,,5,,4,,7,,7,,orange,52,1,,,,,,#NULL!,2,1,1,8,5,1,,1,,,4,4,OtherPublic,106,1,1,5,4,5,7,6,5,6,6,5,6,5,6,6,5,4,7,7,White,Dem,4
6,,4,,5,,5,,5,,7,,7,,5,,5,,5,,4,,6,,7,,5,,5,,5,,5,,orange,44,1,,1,,,,#NULL!,1,1,1,9,5,1,1,,,,10,4,OtherPrivate,107,1,0,6,4,5,5,5,7,7,5,5,5,4,6,7,5,5,5,5,AmerInd,Rep,7
5,,5,,6,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,5,,6,,orange,29,1,,,,,,#NULL!,1,1,1,6,6,1,,1,,,2,2,OtherPrivate,108,1,0,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,6,White,Dem,2
6,,4,,5,,7,,7,,7,,6,,6,,5,,7,,5,,4,,5,,7,,6,,5,,4,,orange,28,1,,,,,,#NULL!,2,1,8,7,5,1,,,1,,2,3,OtherPrivate,109,1,0,6,4,5,7,7,7,6,6,5,7,5,4,5,7,6,5,4,White,Ind,2.5
,6,,6,,6,,7,,7,,6,,7,,7,,6,,6,,5,,6,,7,,6,,5,,4,,7,orange,35,,,,1,,,#NULL!,1,1,1,9,6,1,,1,,,2,4,SelfPublic,110,0,1,6,6,6,7,7,6,7,7,6,6,5,6,7,6,5,4,7,Asian,Dem,3
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,57,1,,,,,,#NULL!,1,1,1,7,5,2,,,1,,2,4,OtherPrivate,111,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,Ind,3
,5,,6,,6,,6,,6,,5,,6,,6,,6,,6,,6,,6,,6,,5,,6,,6,,6,orange,65,1,,,,,,#NULL!,1,1,6,5,5,2,,,1,,4,4,SelfPrivate,112,0,0,5,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,White,Ind,4
,5,,6,,6,,7,,7,,7,,7,,7,,3,,6,,7,,5,,7,,5,,7,,7,,7,orange,43,,1,,,,,#NULL!,2,1,1,6,3,2,,1,,,2,2,SelfPublic,113,0,1,5,6,6,7,7,7,7,7,3,6,7,5,7,5,7,7,7,Black,Dem,2
,4,,3,,4,,4,,3,,3,,5,,4,,3,,5,,4,,3,,3,,2,,4,,5,,5,orange,38,1,,,,,,#NULL!,1,1,8,6,5,1,,,1,,3,8,SelfPublic,114,0,1,4,3,4,4,3,3,5,4,3,5,4,3,3,2,4,5,5,White,Ind,5.5
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,4,,7,,7,,7,,7,,7,,orange,36,1,,,,,,#NULL!,1,1,1,4,2,1,,1,,,1,1,OtherPublic,115,1,1,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,White,Dem,1
6,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,6,,7,,6,,5,,7,,7,,orange,37,,,,1,,,#NULL!,2,2,3,9,6,2,,,1,,4,4,OtherPublic,116,1,1,6,7,7,7,7,7,7,7,7,7,7,6,7,6,5,7,7,Asian,Ind,4
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,55,1,,,,,,#NULL!,1,1,1,8,5,1,,,1,,3,8,OtherPrivate,117,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Ind,5.5
2,,4,,2,,2,,2,,2,,2,,3,,5,,2,,2,,2,,5,,3,,4,,2,,2,,orange,48,1,,,,,,#NULL!,1,1,8,7,3,1,,1,,,1,1,OtherPublic,118,1,1,2,4,2,2,2,2,2,3,5,2,2,2,5,3,4,2,2,White,Dem,1
,4,,5,,6,,6,,7,,5,,5,,5,,3,,6,,5,,5,,5,,4,,4,,4,,6,orange,46,1,,,,,,#NULL!,4,1,8,7,4,2,1,,,,9,9,SelfPublic,119,0,1,4,5,6,6,7,5,5,5,3,6,5,5,5,4,4,4,6,White,Rep,9
,4,,4,,3,,4,,5,,4,,5,,5,,5,,4,,4,,4,,3,,5,,4,,4,,5,orange,62,1,,,,,,#NULL!,3,1,2,2,3,1,1,,,,8,8,SelfPublic,120,0,1,4,4,3,4,5,4,5,5,5,4,4,4,3,5,4,4,5,White,Rep,8
,4,,4,,4,,6,,6,,5,,6,,6,,5,,6,,5,,5,,6,,5,,4,,5,,5,orange,32,1,,,,,,#NULL!,1,1,1,4,3,2,,1,,,1,2,SelfPrivate,121,0,0,4,4,4,6,6,5,6,6,5,6,5,5,6,5,4,5,5,White,Dem,1.5
4,,5,,5,,7,,7,,6,,7,,7,,7,,6,,5,,5,,6,,6,,4,,5,,6,,orange,61,1,,,,,,#NULL!,1,1,8,5,4,2,,1,,,1,2,OtherPrivate,122,1,0,4,5,5,7,7,6,7,7,7,6,5,5,6,6,4,5,6,White,Dem,1.5
,5,,6,,6,,6,,7,,5,,7,,5,,7,,6,,6,,5,,7,,6,,3,,7,,7,orange,40,1,,,,,,#NULL!,2,1,3,7,5,1,1,,,,3,8,SelfPublic,123,0,1,5,6,6,6,7,5,7,5,7,6,6,5,7,6,3,7,7,White,Rep,5.5
,6,,6,,5,,5,,6,,5,,7,,7,,7,,5,,5,,6,,6,,7,,4,,5,,5,orange,70,1,,,,,,#NULL!,4,1,1,6,6,2,,1,,,8,8,SelfPublic,124,0,1,6,6,5,5,6,5,7,7,7,5,5,6,6,7,4,5,5,White,Dem,8
6,,5,,6,,6,,6,,6,,6,,6,,6,,5,,6,,5,,6,,6,,5,,6,,6,,orange,33,1,,,,,,#NULL!,1,1,1,5,5,2,,1,,,1,1,OtherPrivate,125,1,0,6,5,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,White,Dem,1
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,6,,4,,orange,43,1,,,,,,#NULL!,1,1,1,3,3,2,,1,,,1,1,OtherPrivate,126,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,White,Dem,1
2,,3,,5,,6,,7,,3,,6,,6,,4,,4,,5,,6,,6,,7,,3,,5,,5,,orange,67,1,,,,,,#NULL!,1,1,1,9,5,1,1,,,,4,10,OtherPrivate,127,1,0,2,3,5,6,7,3,6,6,4,4,5,6,6,7,3,5,5,White,Rep,7
6,,7,,7,,7,,6,,5,,5,,6,,7,,6,,6,,6,,6,,6,,6,,6,,7,,orange,23,1,,,,,,#NULL!,1,1,1,6,5,1,,1,,,2,2,OtherPrivate,128,1,0,6,7,7,7,6,5,5,6,7,6,6,6,6,6,6,6,7,White,Dem,2
6,,6,,7,,7,,7,,6,,7,,7,,7,,7,,6,,6,,6,,7,,6,,5,,6,,orange,38,1,,,,,,#NULL!,4,1,1,8,6,1,1,,,,10,10,OtherPrivate,129,1,0,6,6,7,7,7,6,7,7,7,7,6,6,6,7,6,5,6,White,Rep,10
,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,orange,45,1,,,,,,#NULL!,4,1,7,1,2,2,1,,,,3,3,SelfPrivate,130,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Rep,3
4,,4,,6,,7,,7,,6,,6,,7,,7,,6,,3,,4,,7,,5,,4,,4,,3,,orange,26,1,1,,,,,#NULL!,4,1,1,1,5,2,1,,,,3,3,OtherPrivate,131,1,0,4,4,6,7,7,6,6,7,7,6,3,4,7,5,4,4,3,Black,Rep,3
7,,4,,5,,6,,5,,7,,7,,5,,7,,6,,5,,5,,5,,5,,5,,4,,6,,orange,19,1,1,,,,,#NULL!,1,1,1,9,3,1,,1,,,1,1,OtherPrivate,132,1,0,7,4,5,6,5,7,7,5,7,6,5,5,5,5,5,4,6,Black,Dem,1
,6,,5,,6,,7,,7,,6,,7,,7,,7,,6,,5,,5,,7,,7,,5,,6,,6,orange,45,1,,,,,,#NULL!,2,1,1,7,6,2,,1,,,1,1,SelfPrivate,133,0,0,6,5,6,7,7,6,7,7,7,6,5,5,7,7,5,6,6,White,Dem,1
,4,,4,,6,,6,,6,,6,,5,,5,,5,,6,,5,,4,,6,,5,,4,,5,,6,orange,37,,1,,,,,#NULL!,2,1,1,5,4,2,,1,,,2,2,SelfPublic,134,0,1,4,4,6,6,6,6,5,5,5,6,5,4,6,5,4,5,6,Black,Dem,2
,6,,6,,6,,7,,7,,5,,7,,7,,5,,7,,6,,5,,6,,5,,5,,6,,7,orange,43,,1,,,,,#NULL!,2,1,1,8,6,2,,1,,,3,8,SelfPublic,135,0,1,6,6,6,7,7,5,7,7,5,7,6,5,6,5,5,6,7,Black,Dem,5.5
6,,5,,6,,7,,7,,6,,7,,7,,6,,6,,5,,7,,6,,7,,6,,5,,5,,orange,52,1,,,,,,#NULL!,3,1,1,8,4,1,1,,,,9,9,OtherPrivate,136,1,0,6,5,6,7,7,6,7,7,6,6,5,7,6,7,6,5,5,White,Rep,9
,6,,5,,6,,4,,6,,5,,5,,4,,6,,3,,4,,5,,6,,7,,6,,5,,5,orange,61,1,,,,,,#NULL!,3,1,1,7,6,1,,1,,,8,4,SelfPublic,137,0,1,6,5,6,4,6,5,5,4,6,3,4,5,6,7,6,5,5,White,Dem,6
2,,6,,7,,5,,5,,4,,3,,3,,4,,5,,5,,4,,5,,4,,4,,3,,4,,orange,56,,1,1,,,,#NULL!,2,1,3,1,3,2,,1,,,2,2,OtherPublic,138,1,1,2,6,7,5,5,4,3,3,4,5,5,4,5,4,4,3,4,AmerInd,Dem,2
,3,,5,,5,,4,,6,,5,,5,,5,,3,,4,,2,,5,,3,,3,,2,,5,,5,orange,23,1,,,,,,#NULL!,4,1,7,3,5,2,,,1,,3,3,SelfPublic,139,0,1,3,5,5,4,6,5,5,5,3,4,2,5,3,3,2,5,5,White,Ind,3
,5,,5,,4,,4,,6,,5,,5,,6,,4,,5,,4,,4,,6,,5,,5,,6,,6,orange,40,1,,,,,,#NULL!,1,1,3,2,2,1,,1,,,4,4,SelfPublic,140,0,1,5,5,4,4,6,5,5,6,4,5,4,4,6,5,5,6,6,White,Dem,4
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,orange,38,,,,,,1,#NULL!,4,2,1,6,5,2,,1,,,9,9,OtherPrivate,141,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Other,Dem,9
,5,,5,,5,,7,,7,,5,,7,,7,,7,,7,,6,,4,,7,,7,,5,,7,,7,orange,42,1,,,,,,#NULL!,3,1,7,6,3,2,,,1,,3,3,SelfPrivate,142,0,0,5,5,5,7,7,5,7,7,7,7,6,4,7,7,5,7,7,White,Ind,3
6,,6,,7,,7,,7,,5,,6,,7,,5,,6,,5,,5,,7,,6,,5,,6,,6,,orange,43,,,,1,,,#NULL!,2,1,2,2,3,1,1,,,,8,8,OtherPublic,143,1,1,6,6,7,7,7,5,6,7,5,6,5,5,7,6,5,6,6,Asian,Rep,8
,6,,6,,7,,7,,7,,7,,7,,7,,3,,7,,7,,5,,7,,3,,3,,7,,7,orange,46,1,,,,,,#NULL!,3,1,1,6,4,2,1,,,,10,10,SelfPublic,144,0,1,6,6,7,7,7,7,7,7,3,7,7,5,7,3,3,7,7,White,Rep,10
,5,,6,,7,,7,,7,,6,,6,,7,,6,,7,,6,,7,,6,,6,,5,,6,,5,orange,44,,1,,,,,#NULL!,4,1,1,1,6,2,1,,,,10,10,SelfPublic,145,0,1,5,6,7,7,7,6,6,7,6,7,6,7,6,6,5,6,5,Black,Rep,10
,4,,4,,5,,6,,7,,6,,7,,6,,3,,6,,5,,4,,5,,4,,5,,4,,6,orange,30,,1,,,,,#NULL!,4,1,1,5,5,2,,1,,,2,1,SelfPublic,146,0,1,4,4,5,6,7,6,7,6,3,6,5,4,5,4,5,4,6,Black,Dem,1.5
5,,4,,6,,6,,6,,5,,7,,7,,3,,6,,6,,4,,6,,6,,4,,1,,7,,orange,48,1,,,,,,#NULL!,4,1,1,6,5,1,,1,,,9,2,OtherPublic,147,1,1,5,4,6,6,6,5,7,7,3,6,6,4,6,6,4,1,7,White,Dem,5.5
5,,6,,6,,6,,5,,5,,4,,5,,3,,5,,6,,4,,5,,4,,6,,6,,6,,orange,26,,1,,,,,#NULL!,2,1,1,3,5,2,1,,,,8,8,OtherPrivate,148,1,0,5,6,6,6,5,5,4,5,3,5,6,4,5,4,6,6,6,Black,Rep,8
4,,3,,5,,6,,5,,4,,6,,5,,4,,6,,4,,4,,5,,4,,3,,5,,6,,orange,20,1,,,,,,#NULL!,1,1,5,8,3,1,,1,,,1,1,OtherPublic,149,1,1,4,3,5,6,5,4,6,5,4,6,4,4,5,4,3,5,6,White,Dem,1
